Referee,date,location,Winner,title_bout,weight_class,Genre,R_fighter,B_fighter,R_age,B_age,ID_peleas,Year
Yves Lavigne,2018-11-30,"Las Vegas, Nevada, USA",Blue,1,Bantamweight,Women,Pannie Kianzad,Macy Chiasson,26.0,27.0,1145,2018
Yves Lavigne,2018-11-30,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Roosevelt Roberts,Darrell Horcher,24.0,31.0,1146,2018
Chris Tognoni,2018-11-30,"Las Vegas, Nevada, USA",Blue,0,Error,Women,Julija Stoliarenko,Leah Letson,25.0,26.0,1147,2018
Mark Smith,2018-11-30,"Las Vegas, Nevada, USA",Red,0,Welterweight,Male,Tim Means,Ricky Rainey,34.0,35.0,1148,2018
Mark Smith,2018-11-30,"Las Vegas, Nevada, USA",Red,0,Error,Male,Maurice Greene,Michel Batista,32.0,34.0,1149,2018
Chris Tognoni,2018-11-30,"Las Vegas, Nevada, USA",Red,0,Error,Male,Raoni Barcelos,Chris Gutierrez,31.0,27.0,1150,2018
Peter Hickmott,2018-11-24,"Beijing, China",Red,0,Strawweight,Women,Zhang Weili,Jessica Aguilar,29.0,36.0,1151,2018
Marc Goddard,2018-11-24,"Beijing, China",Blue,0,Welterweight,Male,Song Kenan,Alex Morono,28.0,28.0,1152,2018
John Sharp,2018-11-24,"Beijing, China",Red,0,Error,Male,Alistair Overeem,Sergei Pavlovich,38.0,26.0,1153,2018
John Sharp,2018-11-24,"Beijing, China",Red,0,Flyweight,Women,Wu Yanan,Lauren Mueller,22.0,27.0,1154,2018
Thomas Fan,2018-11-24,"Beijing, China",Blue,0,Light heavyweight,Male,Hu Yaozong,Rashad Coulter,23.0,36.0,1155,2018
Marc Goddard,2018-11-24,"Beijing, China",Red,0,Featherweight,Male,Song Yadong,Vince Morales,20.0,28.0,1156,2018
Peter Hickmott,2018-11-24,"Beijing, China",Red,0,Welterweight,Male,Li Jingliang,David Zawada,30.0,28.0,1157,2018
Marc Goddard,2018-11-24,"Beijing, China",Blue,0,Peso_Pactado,Male,Curtis Blaydes,Francis Ngannou,27.0,32.0,1158,2018
Peter Hickmott,2018-11-24,"Beijing, China",Red,0,Middleweight,Male,Kevin Holland,John Phillips,26.0,33.0,1159,2018
John Sharp,2018-11-24,"Beijing, China",Red,0,Strawweight,Women,Yan Xiaonan,Syuri Kondo,29.0,29.0,1160,2018
Thomas Fan,2018-11-24,"Beijing, China",Blue,0,Error,Male,Su Mudaerji,Louis Smolka,22.0,27.0,1161,2018
Marc Goddard,2018-11-24,"Beijing, China",Red,0,Error,Male,Pingyuan Liu,Martin Day,25.0,30.0,1162,2018
Osiris Maia,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Welterweight,Male,Michel Prazeres,Bartosz Fabinski,37.0,32.0,1163,2018
Eduardo Herdy,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Bantamweight,Male,Guido Cannetti,Marlon Vera,38.0,25.0,1164,2018
Fernando Portella,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Light heavyweight,Male,Khalil Rountree Jr.,Johnny Walker,28.0,26.0,1165,2018
Herb Dean,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Peso_Pactado,Women,Cynthia Calvillo,Poliana Botelho,31.0,29.0,1166,2018
Keith Peterson,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Middleweight,Male,Cezar Ferreira,Ian Heinisch,33.0,30.0,1167,2018
Herb Dean,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Flyweight,Male,Alexandre Pantoja,Yuta Sasaki,28.0,29.0,1168,2018
Herb Dean,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Welterweight,Male,Neil Magny,Santiago Ponzinibbio,31.0,32.0,1169,2018
Keith Peterson,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Featherweight,Male,Ricardo Lamas,Darren Elkins,36.0,34.0,1170,2018
Osiris Maia,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Lightweight,Male,Devin Powell,Jesus Pinedo,30.0,22.0,1171,2018
Keith Peterson,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Blue,0,Featherweight,Male,Humberto Bandenay,Austin Arnett,24.0,27.0,1172,2018
Eduardo Herdy,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Peso_Pactado,Male,Nad Narimani,Anderson Dos Santos,31.0,33.0,1173,2018
Fernando Portella,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Red,0,Welterweight,Male,Laureano Staropoli,Hector Aldana,25.0,30.0,1174,2018
Kevin MacDonald,2018-11-10,"Denver, Colorado, USA",Red,0,Peso_Pactado,Women,Maycee Barber,Hannah Cifers,20.0,26.0,1175,2018
Keith Peterson,2018-11-10,"Denver, Colorado, USA",Red,0,Lightweight,Male,Beneil Dariush,Thiago Moises,29.0,23.0,1176,2018
Keith Peterson,2018-11-10,"Denver, Colorado, USA",Red,0,Lightweight,Male,Michael Trizano,Luis Pena,26.0,25.0,1177,2018
Tim Mills,2018-11-10,"Denver, Colorado, USA",Draw,0,Featherweight,Male,Chas Skelly,Bobby Moffett,33.0,28.0,1178,2018
Kevin MacDonald,2018-11-10,"Denver, Colorado, USA",Blue,0,Bantamweight,Women,Raquel Pennington,Germaine de Randamie,30.0,34.0,1179,2018
Kevin MacDonald,2018-11-10,"Denver, Colorado, USA",Blue,0,Featherweight,Male,Chan Sung Jung,Yair Rodriguez,31.0,26.0,1180,2018
Tom Johnson,2018-11-10,"Denver, Colorado, USA",Red,0,Strawweight,Women,Ashley Yoder,Amanda Cooper,31.0,27.0,1181,2018
Keith Peterson,2018-11-10,"Denver, Colorado, USA",Red,0,Error,Male,Donald Cerrone,Mike Perry,35.0,27.0,1182,2018
Tim Mills,2018-11-10,"Denver, Colorado, USA",Red,0,Peso_Pactado,Male,Devonte Smith,Julian Erosa,25.0,29.0,1183,2018
Tom Johnson,2018-11-10,"Denver, Colorado, USA",Blue,0,Flyweight,Male,Joseph Morales,Eric Shelton,24.0,27.0,1184,2018
Tom Johnson,2018-11-10,"Denver, Colorado, USA",Red,0,Lightweight,Male,Davi Ramos,John Gunther,32.0,32.0,1185,2018
Tim Mills,2018-11-10,"Denver, Colorado, USA",Red,0,Bantamweight,Male,Mark De La Rosa,Joby Sanchez,24.0,27.0,1186,2018
Dan Miragliotta,2018-11-03,"New York City, New York, USA",Blue,0,Featherweight,Male,Jason Knight,Jordan Rinaldi,26.0,31.0,1187,2018
Yves Lavigne,2018-11-03,"New York City, New York, USA",Red,0,Middleweight,Male,Karl Roberson,Jack Marshman,28.0,28.0,1188,2018
Keith Peterson,2018-11-03,"New York City, New York, USA",Blue,0,Middleweight,Male,David Branch,Jared Cannonier,37.0,34.0,1189,2018
Herb Dean,2018-11-03,"New York City, New York, USA",Red,1,Error,Male,Daniel Cormier,Derrick Lewis,39.0,33.0,1190,2018
Herb Dean,2018-11-03,"New York City, New York, USA",Blue,0,Middleweight,Male,Derek Brunson,Israel Adesanya,34.0,29.0,1191,2018
Yves Lavigne,2018-11-03,"New York City, New York, USA",Blue,0,Featherweight,Male,Julio Arce,Sheymon Moraes,29.0,28.0,1192,2018
Keith Peterson,2018-11-03,"New York City, New York, USA",Red,0,Peso_Pactado,Women,Sijara Eubanks,Roxanne Modafferi,33.0,36.0,1193,2018
Dan Miragliotta,2018-11-03,"New York City, New York, USA",Blue,0,Middleweight,Male,Chris Weidman,Jacare Souza,34.0,38.0,1194,2018
Dan Miragliotta,2018-11-03,"New York City, New York, USA",Draw,0,Lightweight,Male,Matt Frevola,Lando Vannata,28.0,26.0,1195,2018
Herb Dean,2018-11-03,"New York City, New York, USA",Red,0,Welterweight,Male,Lyman Good,Ben Saunders,33.0,35.0,1196,2018
Yves Lavigne,2018-11-03,"New York City, New York, USA",Red,0,Error,Male,Shane Burgos,Kurt Holobaugh,27.0,32.0,1197,2018
Dan Miragliotta,2018-11-03,"New York City, New York, USA",Blue,0,Error,Male,Adam Wieczorek,Marcos Rogerio de Lima,26.0,33.0,1198,2018
Yves Lavigne,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Light heavyweight,Male,Misha Cirkunov,Patrick Cummins,31.0,37.0,1199,2018
Yves Lavigne,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Peso_Pactado,Male,Gian Villante,Ed Herman,33.0,38.0,1200,2018
Eric Nevitt,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Error,Male,Nordine Taleb,Sean Strickland,37.0,27.0,1201,2018
Jerin Valel,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Welterweight,Male,Alex Garcia,Court McGee,31.0,33.0,1202,2018
Jerin Valel,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Peso_Pactado,Male,Michael Johnson,Artem Lobov,32.0,32.0,1203,2018
Yves Lavigne,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Light heavyweight,Male,Volkan Oezdemir,Anthony Smith,29.0,30.0,1204,2018
Barry Gallant,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Lightweight,Male,Thibault Gouti,Nasrat Haqparast,31.0,23.0,1205,2018
Jerin Valel,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Bantamweight,Male,Andre Soukhamthath,Jonathan Martinez,30.0,24.0,1206,2018
Yves Lavigne,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Featherweight,Male,Calvin Kattar,Chris Fishgold,30.0,26.0,1207,2018
Eric Nevitt,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Bantamweight,Women,Sarah Moras,Talita Bernardo,30.0,31.0,1208,2018
Barry Gallant,2018-10-27,"Moncton, New Brunswick, Canada",Blue,0,Lightweight,Male,Te Edwards,Don Madge,28.0,27.0,1209,2018
Barry Gallant,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Lightweight,Male,Stevie Ray,Jessin Ayari,28.0,26.0,1210,2018
Eric Nevitt,2018-10-27,"Moncton, New Brunswick, Canada",Red,0,Error,Male,Arjan Bhullar,Marcelo Golm,32.0,26.0,1211,2018
Herb Dean,2018-10-06,"Las Vegas, Nevada, USA",Blue,0,Flyweight,Male,Sergio Pettis,Jussier Formiga,25.0,33.0,1212,2018
Dan Miragliotta,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Vicente Luque,Jalin Turner,26.0,23.0,1213,2018
Jason Herzog,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Tony Ferguson,Anthony Pettis,34.0,31.0,1214,2018
Dan Miragliotta,2018-10-06,"Las Vegas, Nevada, USA",Blue,0,Light heavyweight,Male,Ovince Saint Preux,Dominick Reyes,35.0,28.0,1215,2018
Jason Herzog,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Strawweight,Women,Michelle Waterson,Felice Herrig,32.0,34.0,1216,2018
Chris Tognoni,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Women,Aspen Ladd,Tonya Evinger,23.0,37.0,1217,2018
Herb Dean,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Derrick Lewis,Alexander Volkov,33.0,29.0,1218,2018
Herb Dean,2018-10-06,"Las Vegas, Nevada, USA",Red,1,Lightweight,Male,Khabib Nurmagomedov,Conor McGregor,30.0,30.0,1219,2018
Jason Herzog,2018-10-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Scott Holtzman,Alan Patrick,35.0,35.0,1220,2018
Chris Tognoni,2018-10-06,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Women,Lina Lansberg,Yana Kunitskaya,36.0,28.0,1221,2018
Chris Tognoni,2018-10-06,"Las Vegas, Nevada, USA",Blue,0,Welterweight,Male,Ryan LaFlare,Anthony Rocco Martin,35.0,28.0,1222,2018
Dan Miragliotta,2018-10-06,"Las Vegas, Nevada, USA",Blue,0,Peso_Pactado,Male,Gray Maynard,Nik Lentz,39.0,34.0,1223,2018
Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Welterweight,Male,Alex Oliveira,Carlo Pedersoli Jr.,30.0,25.0,1224,2018
Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Blue,0,Peso_Pactado,Male,Luis Henrique,Ryan Spann,25.0,27.0,1225,2018
Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Lightweight,Male,Charles Oliveira,Christos Giagos,28.0,28.0,1226,2018
Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Draw,0,Strawweight,Women,Randa Markos,Marina Rodriguez,33.0,31.0,1227,2018
Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Blue,0,Light heavyweight,Male,Sam Alvey,Rogerio Nogueira,32.0,42.0,1228,2018
Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Lightweight,Male,Francisco Trinaldo,Evan Dunham,40.0,36.0,1229,2018
Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Peso_Pactado,Male,Thiago Santos,Eryk Anders,34.0,31.0,1230,2018
Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Blue,0,Peso_Pactado,Male,Renan Barao,Andre Ewell,31.0,30.0,1231,2018
Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Welterweight,Male,Sergio Moraes,Ben Saunders,36.0,35.0,1232,2018
Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Peso_Pactado,Women,Mayra Bueno Silva,Gillian Robertson,27.0,23.0,1233,2018
Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Peso_Pactado,Male,Augusto Sakai,Chase Sherman,27.0,28.0,1234,2018
Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Welterweight,Male,Elizeu Zaleski dos Santos,Luigi Vendramini,31.0,22.0,1235,2018
Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Middleweight,Male,Thales Leites,Hector Lombard,37.0,40.0,1236,2018
Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Red,0,Strawweight,Women,Livinha Souza,Alex Chambers,27.0,39.0,1237,2018
Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Red,0,Lightweight,Male,Rustam Khabilov,Kajan Johnson,31.0,34.0,1238,2018
Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Blue,0,Error,Male,Andrei Arlovski,Shamil Abdurakhimov,39.0,37.0,1239,2018
Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Red,0,Welterweight,Male,Aleksei Kunchenko,Thiago Alves,34.0,34.0,1240,2018
Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Red,0,Light heavyweight,Male,Jan Blachowicz,Nikita Krylov,35.0,26.0,1241,2018
Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Red,0,Middleweight,Male,Khalid Murtazaliev,CB Dollaway,25.0,35.0,1242,2018
Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Blue,0,Peso_Pactado,Male,Mark Hunt,Aleksei Oleinik,44.0,41.0,1243,2018
Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Red,0,Bantamweight,Male,Petr Yan,Jin Soo Son,25.0,25.0,1244,2018
Kiselev Viacheslav,2018-09-15,"Moscow, Moscow, Russia",Red,0,Lightweight,Male,Mairbek Taisumov,Desmond Green,30.0,28.0,1245,2018
Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Red,0,Light heavyweight,Male,Magomed Ankalaev,Marcin Prachnio,26.0,30.0,1246,2018
Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Blue,0,Error,Male,Adam Yandiev,Jordan Johnson,30.0,29.0,1247,2018
Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Red,0,Welterweight,Male,Ramazan Emeev,Stefan Sekulic,31.0,26.0,1248,2018
Kiselev Viacheslav,2018-09-15,"Moscow, Moscow, Russia",Red,0,Bantamweight,Male,Merab Dvalishvili,Terrion Ware,27.0,32.0,1249,2018
Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Red,0,Bantamweight,Male,Jimmie Rivera,John Dodson,29.0,33.0,1250,2018
Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Red,0,Strawweight,Women,Jessica Andrade,Karolina Kowalkiewicz,26.0,32.0,1251,2018
Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Red,0,Peso_Pactado,Male,Zabit Magomedsharipov,Brandon Davis,27.0,28.0,1252,2018
Kevin MacDonald,2018-09-08,"Dallas, Texas, USA",Red,0,Error,Male,Aljamain Sterling,Cody Stamann,29.0,28.0,1253,2018
Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Red,0,Welterweight,Male,Abdul Razak Alhassan,Niko Price,33.0,28.0,1254,2018
Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Blue,0,Strawweight,Women,Carla Esparza,Tatiana Suarez,30.0,27.0,1255,2018
Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Red,0,Welterweight,Male,Geoff Neal,Frank Camacho,28.0,29.0,1256,2018
Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Red,1,Error,Male,Tyron Woodley,Darren Till,36.0,25.0,1257,2018
Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Blue,0,Middleweight,Male,Charles Byrd,Darren Stewart,34.0,27.0,1258,2018
Kevin MacDonald,2018-09-08,"Dallas, Texas, USA",Red,0,Lightweight,Male,Jim Miller,Alex White,35.0,29.0,1259,2018
Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Red,0,Peso_Pactado,Women,Irene Aldana,Lucie Pudilova,30.0,24.0,1260,2018
Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Red,0,Welterweight,Male,Diego Sanchez,Craig White,36.0,28.0,1261,2018
Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Blue,0,Flyweight,Male,Robert Sanchez,Jarred Brooks,32.0,25.0,1262,2018
Bryan Miner,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Peso_Pactado,Women,Cortney Casey,Angela Hill,31.0,33.0,1263,2018
Brandon Pfannenstiel,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Bantamweight,Male,Cory Sandhagen,Iuri Alcantara,26.0,38.0,1264,2018
Dave Jobeun,2018-08-25,"Lincoln, Nebraska, USA",Blue,0,Flyweight,Male,John Moraga,Deiveson Figueiredo,34.0,30.0,1265,2018
Blake Grice,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Middleweight,Male,Eryk Anders,Tim Williams,31.0,32.0,1266,2018
Kevin MacDonald,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Welterweight,Male,James Krause,Warlley Alves,32.0,27.0,1267,2018
Bryan Miner,2018-08-25,"Lincoln, Nebraska, USA",Blue,0,Welterweight,Male,Jake Ellenberger,Bryan Barberena,33.0,29.0,1268,2018
Kevin MacDonald,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Lightweight,Male,Justin Gaethje,James Vick,29.0,31.0,1269,2018
Blake Grice,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Peso_Pactado,Male,Michael Johnson,Andre Fili,32.0,28.0,1270,2018
Kevin MacDonald,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Flyweight,Women,Joanne Calderwood,Kalindra Faria,32.0,32.0,1271,2018
Dave Jobeun,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Middleweight,Male,Andrew Sanchez,Markus Perez,30.0,30.0,1272,2018
Dave Jobeun,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Bantamweight,Male,Rani Yahya,Luke Sanders,33.0,32.0,1273,2018
Bryan Miner,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Welterweight,Male,Mickey Gall,George Sullivan,26.0,37.0,1274,2018
Blake Grice,2018-08-25,"Lincoln, Nebraska, USA",Red,0,Lightweight,Male,Drew Dober,Jon Tuck,29.0,33.0,1275,2018
Mike Beltran,2018-08-04,"Los Angeles, California, USA",Red,0,Peso_Pactado,Male,Thiago Santos,Kevin Holland,34.0,25.0,1276,2018
Herb Dean,2018-08-04,"Los Angeles, California, USA",Red,1,Error,Male,TJ Dillashaw,Cody Garbrandt,32.0,27.0,1277,2018
Mike Beltran,2018-08-04,"Los Angeles, California, USA",Red,0,Peso_Pactado,Male,Ricardo Ramos,Kyung Ho Kang,23.0,30.0,1278,2018
Herb Dean,2018-08-04,"Los Angeles, California, USA",Blue,0,Error,Women,Polyana Viana,JJ Aldrich,26.0,25.0,1279,2018
Frank Trigg,2018-08-04,"Los Angeles, California, USA",Red,0,Bantamweight,Male,Ricky Simon,Montel Jackson,25.0,26.0,1280,2018
Blake Grice,2018-08-04,"Los Angeles, California, USA",Blue,0,Error,Male,Cub Swanson,Renato Moicano,34.0,29.0,1281,2018
Blake Grice,2018-08-04,"Los Angeles, California, USA",Red,0,Bantamweight,Male,Pedro Munhoz,Brett Johns,31.0,26.0,1282,2018
Mike Beltran,2018-08-04,"Los Angeles, California, USA",Blue,1,Error,Male,Demetrious Johnson,Henry Cejudo,31.0,31.0,1283,2018
Blake Grice,2018-08-04,"Los Angeles, California, USA",Blue,0,Featherweight,Male,Matt Sayles,Sheymon Moraes,24.0,27.0,1284,2018
Frank Trigg,2018-08-04,"Los Angeles, California, USA",Red,0,Bantamweight,Male,Marlon Vera,Wuliji Buren,25.0,29.0,1285,2018
Frank Trigg,2018-08-04,"Los Angeles, California, USA",Red,0,Flyweight,Male,Alex Perez,Jose Torres,26.0,26.0,1286,2018
Blake Grice,2018-08-04,"Los Angeles, California, USA",Blue,0,Strawweight,Women,Danielle Taylor,Zhang Weili,28.0,28.0,1287,2018
Andy Social,2018-07-28,"Calgary, Alberta, Canada",Blue,0,Lightweight,Male,Kajan Johnson,Islam Makhachev,34.0,26.0,1288,2018
Keith Peterson,2018-07-28,"Calgary, Alberta, Canada",Red,0,Strawweight,Women,Joanna Jedrzejczyk,Tecia Torres,30.0,28.0,1289,2018
No especificado,2018-07-28,"Calgary, Alberta, Canada",Red,0,Lightweight,Male,Alexander Hernandez,Olivier Aubin-Mercier,25.0,29.0,1290,2018
Marc Goddard,2018-07-28,"Calgary, Alberta, Canada",Blue,0,Light heavyweight,Male,Gadzhimurad Antigulov,Ion Cutelaba,31.0,24.0,1291,2018
Marc Goddard,2018-07-28,"Calgary, Alberta, Canada",Blue,0,Lightweight,Male,Eddie Alvarez,Dustin Poirier,34.0,29.0,1292,2018
Yves Lavigne,2018-07-28,"Calgary, Alberta, Canada",Red,0,Error,Male,Jose Aldo,Jeremy Stephens,31.0,32.0,1293,2018
Yves Lavigne,2018-07-28,"Calgary, Alberta, Canada",Red,0,Featherweight,Male,Hakeem Dawodu,Austin Arnett,27.0,26.0,1294,2018
Keith Peterson,2018-07-28,"Calgary, Alberta, Canada",Red,0,Welterweight,Male,Jordan Mein,Alex Morono,28.0,27.0,1295,2018
Keith Peterson,2018-07-28,"Calgary, Alberta, Canada",Red,0,Flyweight,Male,Dustin Ortiz,Matheus Nicolau,29.0,25.0,1296,2018
Yves Lavigne,2018-07-28,"Calgary, Alberta, Canada",Blue,0,Strawweight,Women,Randa Markos,Nina Ansaroff,32.0,32.0,1297,2018
Andy Social,2018-07-28,"Calgary, Alberta, Canada",Blue,0,Peso_Pactado,Women,Alexis Davis,Katlyn Chookagian,33.0,29.0,1298,2018
Marc Goddard,2018-07-28,"Calgary, Alberta, Canada",Red,0,Lightweight,Male,Devin Powell,Alvaro Herrera Mendoza,30.0,28.0,1299,2018
Yves Lavigne,2018-07-28,"Calgary, Alberta, Canada",Red,0,Lightweight,Male,John Makdessi,Ross Pearson,33.0,33.0,1300,2018
Marc Goddard,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Light heavyweight,Male,Mauricio Rua,Anthony Smith,36.0,29.0,1301,2018
Leon Roberts,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Light heavyweight,Male,Glover Teixeira,Corey Anderson,38.0,28.0,1302,2018
Kevin Sataki,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Welterweight,Male,Emil Meek,Bartosz Fabinski,29.0,32.0,1303,2018
Kevin Sataki,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Middleweight,Male,Vitor Miranda,Abu Azaitar,39.0,32.0,1304,2018
Leon Roberts,2018-07-22,"Hamburg, Hamburg, Germany",Red,0,Welterweight,Male,Danny Roberts,David Zawada,31.0,27.0,1305,2018
Tomasz Bronder,2018-07-22,"Hamburg, Hamburg, Germany",Red,0,Lightweight,Male,Nasrat Haqparast,Marc Diakiese,22.0,25.0,1306,2018
Rich Mitchell,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Lightweight,Male,Nick Hein,Damir Hadzovic,34.0,31.0,1307,2018
Marc Goddard,2018-07-22,"Hamburg, Hamburg, Germany",Red,0,Error,Male,Marcin Tybura,Stefan Struve,32.0,30.0,1308,2018
Tomaz Bendy,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Error,Male,Davey Grant,Manny Bermudez,32.0,24.0,1309,2018
Marc Goddard,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Error,Male,Khalid Taha,Nad Narimani,26.0,31.0,1310,2018
Leon Roberts,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Light heavyweight,Male,Justin Ledet,Aleksandar Rakic,29.0,26.0,1311,2018
Rich Mitchell,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Light heavyweight,Male,Jeremy Kimball,Darko Stosic,27.0,26.0,1312,2018
Kevin Sataki,2018-07-22,"Hamburg, Hamburg, Germany",Blue,0,Bantamweight,Male,Damian Stasiak,Pingyuan Liu,28.0,25.0,1313,2018
Jason Herzog,2018-07-14,"Boise, Idaho, USA",Blue,0,Featherweight,Male,Myles Jury,Chad Mendes,29.0,33.0,1314,2018
Jason Herzog,2018-07-14,"Boise, Idaho, USA",Blue,0,Featherweight,Male,Darren Elkins,Alexander Volkanovski,34.0,29.0,1315,2018
Herb Dean,2018-07-14,"Boise, Idaho, USA",Blue,0,Welterweight,Male,Randy Brown,Niko Price,28.0,28.0,1316,2018
Herb Dean,2018-07-14,"Boise, Idaho, USA",Red,0,Error,Male,Junior Dos Santos,Blagoy Ivanov,34.0,31.0,1317,2018
Jason Herzog,2018-07-14,"Boise, Idaho, USA",Red,0,Welterweight,Male,Sage Northcutt,Zak Ottow,22.0,31.0,1318,2018
Rulon Day,2018-07-14,"Boise, Idaho, USA",Red,0,Peso_Pactado,Women,Cat Zingano,Marion Reneau,36.0,41.0,1319,2018
Tom Supnet,2018-07-14,"Boise, Idaho, USA",Blue,0,Peso_Pactado,Male,Dennis Bermudez,Rick Glenn,31.0,29.0,1320,2018
Tom Supnet,2018-07-14,"Boise, Idaho, USA",Blue,0,Error,Male,Eddie Wineland,Alejandro Perez,34.0,28.0,1321,2018
Herb Dean,2018-07-14,"Boise, Idaho, USA",Blue,0,Peso_Pactado,Male,Kurt Holobaugh,Raoni Barcelos,31.0,31.0,1322,2018
Rulon Day,2018-07-14,"Boise, Idaho, USA",Red,0,Peso_Pactado,Male,Mark De La Rosa,Elias Garcia,23.0,25.0,1323,2018
Rulon Day,2018-07-14,"Boise, Idaho, USA",Blue,0,Error,Male,Justin Scoggins,Said Nurmagomedov,26.0,26.0,1324,2018
Herb Dean,2018-07-14,"Boise, Idaho, USA",Red,0,Strawweight,Women,Jessica Aguilar,Jodie Esquibel,36.0,32.0,1325,2018
