nombre,weight_class,Genre,Fight,Year,total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,ID_peleador
Derek Brunson,Middleweight,Male,2019-08-17,2019,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2019-05-04,2019,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2018-11-03,2018,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2017-10-28,2017,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2017-06-10,2017,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2013-11-06,2013,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,2258
Derek Brunson,Peso_Pactado,Male,2016-02-21,2016,12,0,2,0,3,5,1,0,0,0,2,2,1,0,Southpaw,2258
Derek Brunson,Error,Male,2015-08-08,2015,11,0,2,0,2,4,1,0,0,0,2,1,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2018-01-27,2018,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2017-02-11,2017,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2016-11-26,2016,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2016-09-17,2016,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2014-01-15,2014,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Middleweight,Male,2012-12-29,2012,20,0,2,0,5,9,3,0,0,0,2,6,1,0,Southpaw,2258
Derek Brunson,Peso_Pactado,Male,2015-01-31,2015,10,0,2,0,2,3,1,0,0,0,2,0,1,0,Southpaw,2258
Derek Brunson,Error,Male,2014-08-30,2014,7,0,2,0,2,2,1,0,0,0,1,0,1,0,Southpaw,2258
Montel Jackson,Bantamweight,Male,2021-03-20,2021,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,1826
Montel Jackson,Bantamweight,Male,2020-01-25,2020,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,1826
Montel Jackson,Bantamweight,Male,2019-04-13,2019,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,1826
Montel Jackson,Bantamweight,Male,2020-07-18,2020,10,0,0,1,3,3,1,0,0,0,2,0,1,0,Southpaw,1826
Montel Jackson,Bantamweight,Male,2018-08-04,2018,10,0,0,1,3,3,1,0,0,0,2,0,1,0,Southpaw,1826
Montel Jackson,Peso_Pactado,Male,2018-12-29,2018,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,1826
Bruno Silva,Peso_Pactado,Male,2021-03-20,2021,9,0,0,3,0,0,3,0,0,0,0,0,0,0,No especificado,2004
Bruno Silva,Peso_Pactado,Male,2020-10-10,2020,9,0,0,3,0,0,3,0,0,0,0,0,0,0,No especificado,2004
Bruno Silva,Peso_Pactado,Male,2020-03-14,2020,9,0,0,3,0,0,3,0,0,0,0,0,0,0,No especificado,2004
Bruno Silva,Error,Male,2019-10-05,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,2004
Manel Kape,Flyweight,Male,2021-03-13,2021,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,1584
Manel Kape,Flyweight,Male,2021-02-06,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1584
Misha Cirkunov,Light heavyweight,Male,2021-03-13,2021,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2019-09-14,2019,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2019-03-02,2019,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2018-10-27,2018,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2016-06-18,2016,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2015-08-23,2015,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,2269
Misha Cirkunov,Peso_Pactado,Male,2016-02-06,2016,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2017-12-16,2017,8,0,4,0,4,4,1,0,0,0,0,1,3,0,Orthodox,2269
Misha Cirkunov,Light heavyweight,Male,2017-05-28,2017,8,0,4,0,4,4,1,0,0,0,0,1,3,0,Orthodox,2269
