nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Paul Buentello,Heavyweight,Male,187.96,195.58,245.0,3037
Marcio Cruz,Error,Male,193.04,199.98,232.0,3226
Marcio Cruz,Peso_Pactado,Male,193.04,199.98,232.0,3226
Jason Von Flue,Peso_Pactado,Male,182.88,187.08,170.0,3247
Jason Von Flue,Welterweight,Male,182.88,187.08,170.0,3247
Sam Hoger,Error,Male,187.96,192.54,205.0,3223
Sam Hoger,Light heavyweight,Male,187.96,192.54,205.0,3223
Nick Thompson,Welterweight,Male,185.42,187.96,170.0,3260
Branden Lee Hinkle,Error,Male,190.5,195.59,235.0,3254
Branden Lee Hinkle,Peso_Pactado,Male,190.5,195.59,235.0,3254
Trevor Prangley,Peso_Pactado,Male,185.42,190.5,185.0,3263
Trevor Prangley,Middleweight,Male,185.42,190.5,185.0,3263
Matt Lindland,Middleweight,Male,182.88,187.96,185.0,3293
Matt Lindland,Peso_Pactado,Male,182.88,187.96,185.0,3293
Matt Lindland,Error,Male,182.88,187.96,185.0,3293
Mike van Arsdale,Light heavyweight,Male,187.96,192.54,205.0,3267
Mike van Arsdale,Error,Male,187.96,192.54,205.0,3267
Ivan Salaverry,Error,Male,182.88,187.08,185.0,3159
Ivan Salaverry,Middleweight,Male,182.88,187.08,185.0,3159
Alex Karalexis,Peso_Pactado,Male,172.72,167.64,155.0,3269
Alex Karalexis,Error,Male,172.72,167.64,155.0,3269
Mike Kyle,Light heavyweight,Male,193.04,195.58,205.0,3292
Mike Kyle,Peso_Pactado,Male,193.04,195.58,205.0,3292
Mike Kyle,Error,Male,193.04,195.58,205.0,3292
Frank Trigg,Welterweight,Male,175.26,180.34,170.0,3041
Frank Trigg,Peso_Pactado,Male,175.26,180.34,170.0,3041
Justin Eilers,Error,Male,185.42,190.13,235.0,3266
Justin Eilers,Peso_Pactado,Male,185.42,190.13,235.0,3266
Ken Shamrock,Light heavyweight,Male,185.42,182.88,205.0,3239
Ken Shamrock,Error,Male,185.42,182.88,205.0,3239
Ken Shamrock,Peso_Pactado,Male,185.42,182.88,205.0,3239
Genki Sudo,Peso_Pactado,Male,175.26,180.12,155.0,3317
Genki Sudo,Lightweight,Male,175.26,180.12,155.0,3317
Jonathan Wiezorek,Error,Male,190.5,195.59,250.0,1406
Renato Verissimo,Welterweight,Male,185.42,190.13,170.0,3290
Lee Murray,Middleweight,Male,190.5,195.59,185.0,1408
Wesley Correira,Error,Male,190.5,195.59,260.0,3299
Wesley Correira,Peso_Pactado,Male,190.5,195.59,260.0,3299
Pedro Rizzo,Error,Male,185.42,190.13,241.0,3318
