,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,Height_Red,Weight_Red,Stance_Red,SLpM_Red,Str_Acc_Red,SApM_Red,Str_Def_Red,TD_Avg_Red,TD_Acc_Red,TD_Def_Red,Sub_Avg_Red,Height_Blue,Weight_Blue,Stance_Blue,SLpM_Blue,Str_Acc_Blue,SApM_Blue,Str_Def_Blue,TD_Avg_Blue,TD_Acc_Blue,TD_Def_Blue,Sub_Avg_Blue,winner_color,R_SIG_STRIKE_LANDED,R_SIG_STRIKE_TOTAL,B_SIG_STRIKE_LANDED,B_SIG_STRIKE_TOTAL,R_TOTAL_STRIKE_LANDED,R_TOTAL_STRIKE_TOTAL,B_TOTAL_STRIKE_LANDED,B_TOTAL_STRIKE_TOTAL,R_TD_STRIKE_LANDED,R_TD_STRIKE_TOTAL,B_TD_STRIKE_LANDED,B_TD_STRIKE_TOTAL,R_HEAD_LANDED,R_HEAD_TOTAL,B_HEAD_LANDED,B_HEAD_TOTAL,R_BODY_LANDED,R_BODY_TOTAL,B_BODY_LANDED,B_BODY_TOTAL,R_LEG_LANDED,R_LEG_TOTAL,B_LEG_LANDED,B_LEG_TOTAL,R_DISTANCE_LANDED,R_DISTANCE_TOTAL,B_DISTANCE_LANDED,B_DISTANCE_TOTAL,R_CLINCH_LANDED,R_CLINCH_TOTAL,B_CLINCH_LANDED,B_CLINCH_TOTAL,R_GROUND_LANDED,R_GROUND_TOTAL,B_GROUND_LANDED,B_GROUND_TOTAL,weightclass,titlebout
662,0,0,75,71,0,100,1,0,0,0,0,137,69,145,Switch,3.11,37,3.78,48,1.76,32,40,1.0,70,145,Orthodox,2.92,61,2.68,46,3.06,54,0,3.1,1,6,8,27,38,8,11,37,49,0,0,1,1,1,3,25,36,2,2,2,2,3,3,0,0,6,8,1,5,0,0,0,1,0,0,26,32,featherweight,0
663,0,0,69,42,50,0,0,0,0,0,42,0,70,155,Orthodox,2.84,39,5.39,54,2.39,45,54,2.0,72,145,Switch,8.8,55,6.65,46,5.91,60,75,0.7,1,25,36,8,19,28,39,8,19,1,2,0,0,24,35,4,14,1,1,2,3,0,0,2,2,9,19,8,18,1,1,0,1,15,16,0,0,lightweight,0
664,1,0,72,50,0,25,0,0,0,0,9,70,76,205,Southpaw,4.53,48,3.16,49,0.2,16,82,0.2,74,185,Orthodox,3.03,43,3.15,52,3.93,47,65,0.9,1,8,11,3,6,9,12,10,13,0,0,1,4,7,10,1,4,0,0,2,2,1,1,0,0,2,4,1,3,2,2,1,1,4,5,1,2,light heavyweight,0
665,0,0,56,52,0,75,0,0,0,0,190,334,71,145,Orthodox,4.33,45,3.13,57,0.9,29,63,0.9,69,145,Orthodox,3.18,40,3.06,58,1.16,38,65,0.4,1,96,170,50,95,136,213,99,156,0,3,3,4,65,127,35,76,14,23,10,10,17,20,5,9,54,100,19,51,6,10,6,11,36,60,25,33,featherweight,0
666,2,0,50,54,0,0,0,0,0,0,7,43,69,135,Switch,7.88,47,5.26,58,0.0,0,100,0.0,69,135,Southpaw,4.13,37,7.75,59,0.0,0,100,0.0,1,22,44,12,22,23,45,16,26,0,0,0,1,21,41,4,13,1,3,7,8,0,0,1,1,19,36,11,21,0,1,1,1,3,7,0,0,bantamweight,0
667,0,0,45,57,66,100,4,1,2,1,173,283,74,185,Orthodox,3.55,59,4.57,39,1.17,37,50,2.0,75,185,Orthodox,4.14,56,2.58,56,1.08,45,51,0.7,1,10,22,22,38,23,41,37,55,2,3,1,1,7,19,14,27,1,1,5,6,2,2,3,5,5,14,12,26,1,1,0,0,4,7,10,12,middleweight,0
668,0,0,27,44,6,0,0,0,0,0,268,0,67,145,Orthodox,2.63,31,5.11,58,1.14,15,62,0.0,74,145,Orthodox,6.4,45,4.43,58,0.0,0,77,0.0,0,42,151,111,251,52,161,150,290,1,15,0,0,17,113,93,231,15,26,8,10,10,12,10,10,32,137,104,243,10,14,7,8,0,0,0,0,featherweight,0
669,0,0,29,61,0,0,0,0,0,0,0,0,79,245,Orthodox,2.6,35,5.3,46,0.74,66,0,0.0,74,255,Orthodox,4.54,55,2.7,63,0.0,0,100,0.0,0,32,108,93,151,32,108,93,151,0,0,0,0,20,83,33,86,6,16,25,27,6,9,35,38,32,108,93,151,0,0,0,0,0,0,0,0,heavyweight,0
670,0,1,36,56,0,66,0,0,0,0,84,42,71,170,Orthodox,4.9,36,3.94,61,1.6,21,63,0.4,70,170,Orthodox,4.72,55,3.6,63,2.69,60,100,1.2,0,107,291,119,210,128,313,148,240,0,6,2,3,71,236,85,168,12,29,8,13,24,26,26,29,101,282,116,203,6,9,3,6,0,0,0,1,welterweight,0
671,0,0,35,45,0,66,1,0,0,0,68,38,77,205,Orthodox,3.55,45,3.45,47,1.72,41,60,1.7,72,205,Orthodox,3.33,57,2.43,48,2.7,36,76,0.1,1,17,48,17,37,17,48,22,42,0,1,2,3,14,44,8,27,3,4,7,8,0,0,2,2,8,36,11,29,9,12,6,8,0,0,0,0,light heavyweight,0
